uoa,filter1,filter2,MET001,MET002,MET003,MET004,MET005,MET006,MET007,MET008,MET009,MET010,MET011,MET012,MET013,MET014,MET015,MET016,MET017,MET018,MET019,MET020,MET021,MET022,MET023,MET024,MET025,MET026,MET027,MET028,MET029,MET030,MET031,MET032,MET033,MET034,MET035,MET036,MET037,MET038,MET039,MET040,MET041,MET042,MET043,MET044,MET045,MET046,MET047,MET048,MET049,MET062,MET063,MET064,MET050,MET051,MET052,MET053,MET054,MET055,MET056,MET057,MET058,MET065,MET066,MET067,MET059,MET060,MET061,MET068,MET069,MET070,MET071,MET072,MET073,MET074,MET075,MET076,MET077,MET078,MET079,MET080,MET081,MET082,MET083,MET084,MET085,MET086,MET087,MET088,MET089,MET090,MET091,MET092,MET093,MET094,MET095,MET096,MET097,MET098,MET099,MET100,MET101,MET102,MET103,MET104,MET105,MET106,MET107,MET108,MET109,MET110,MET111,MET112,MET113,MET114,MET115,MET116,MET117,MET118,MET121,MET119,MET122,MET120,MET123,MET124,MET125,MET126,MET127,MET137,MET128,MET129,MET130,MET131,MET132,MET133,MET134,MET135,MET136,MET138,MET139,MET140,MET141,MET142,MET143,MET144,MET145,MET146,MET147,MET148,MET149,MET151,MET152,MET153,MET150,MET154,MET155,MET156,MET157,MET158,MET159,MET160,MET161,MET162,MET163,MET164,MET165,MET166,MET167,MET168,MET169,MET170,MET171,MET172,MET182,MET183,MET184,MET185,MET186,MET187,MET188,MET189,MET173,MET174,MET175,MET176,MET177,MET178,MET179,MET180,MET181,MET190,MET191,MET192,MET193,MET194,MET195,MET196,MET198,MET197,MET199,MET200,MET201,MET202,MET203,MET204,MET205,MET206
uoa01,South,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa02,East,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa03,South,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa04,East,Hosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa05,Centre,Refugees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uoa06,Centre,IDPs,0.52,1.26,0.07,0.02,0.04,2.7,0.2,0.29,0.14,,,,58.05,47.5,16.47,0.27,0.18,0.06,6.15,0.43,0,2,0.23,1,,,,,93.4,0.16,,0.49,0.44,0.45,2,0.11,0.14,0.04,0.1,0.06,0.08,,,0.05,0.23,,,,,,,,0.2,0.12,,,0.08,,,,,,,,0.61,,,,,,,,,,,,,,,11.72,4,,7.83,0.64,0.32,0.14,0.06,0.06,0.1,0.18,6.35,0.11,0.21,0.13,0.33,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,0.08,0.22,,,,,,,,,,5.54,1,0.02,0.13,16.09,,,,0.15,,,0.27,0.09,,,,,,0.06,,4704.75,136785.39,19.29,0.95,0.73,3.1,0.66,,7.46,29.52,,0.19,,0.21,0.14,,0.08,,0.11,0.02,0.01,0.17,1,0.99,1,0.75,0.82,1,0.04,0.09,1,0.01,0.05,0.52,0.47,0.33,,,,,,,,,,,,,,,,,
uoa07,North,IDPs,0.38,0.87,0.05,0.05,0.08,1.91,0.15,0.14,0.12,,,,81.83,66.8,15.89,0.26,0.2,0.1,6.62,0.21,0,5,0.23,1,,,,,103.49,0.17,,0.57,0.4,0.43,2,0.04,0.07,0.04,0.23,0.14,0.04,,,0.1,0.14,,,,,,,,0.21,0.11,,,0.09,,,,,,,,0.62,,,,,,,,,,,,,,,13.75,5,,7.1,0.76,0.28,0.13,0.11,0.05,0.14,0.35,7,0.24,0.07,0.24,0.25,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.11,0.08,,,,,,,,,,6.88,1,0.02,0.24,24.27,,,,0.06,,,0.2,0.1,,,,,,0.05,,4053.94,63491.01,15.54,0.78,0.69,2.08,0.79,,9.01,35.18,,0.15,,0.22,0.07,,0.13,,0.13,0.02,0.01,0.4,1,0.78,0.89,0.77,0.73,1,0.04,0.09,1,0.02,0.05,0.54,0.5,0.32,,,,,,,,,,,,,,,,,
uoa08,West,IDPs,0.58,1.08,0.05,0.06,0.1,2.39,0.19,0.13,0.15,,,,91.64,54.88,10.21,0.17,0.07,0.12,3.14,0.39,1,5,0.25,0,,,,,67.48,0.15,,0.59,0.37,0.37,2,0.14,0.12,0.03,0.12,0.12,0.13,,,0.13,0.25,,,,,,,,0.1,0.11,,,0.13,,,,,,,,0.71,,,,,,,,,,,,,,,13.09,6,,9.29,0.74,0.21,0.12,0.06,0.04,0.1,0.16,5.97,0.16,0.08,0.3,0.27,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,0.06,0.1,,,,,,,,,,6.61,1,0.02,0.21,13.09,,,,0.08,,,0.31,0.07,,,,,,0.08,,7445.21,95566.04,18.32,0.79,0.62,3.4,0.74,,7.15,38.36,,0.12,,0.14,0.07,,0.13,,0.12,0.02,0.01,0.41,1,0.97,0.85,0.91,0.73,1,0.03,0.05,1,0.02,0.03,0.57,0.45,0.31,,,,,,,,,,,,,,,,,
uoa09,West,Hosts,0.39,1.38,0.09,0.04,0.07,2.23,0.09,0.1,0.14,,,,106.11,69.67,15.86,0.16,0.19,0.1,3.36,0.66,1,5,0.26,1,,,,,55.93,0.09,,0.56,0.43,0.36,1,0.11,0.13,0.05,0.23,0.09,0.12,,,0.05,0.11,,,,,,,,0.16,0.09,,,0.07,,,,,,,,0.61,,,,,,,,,,,,,,,10.68,4,,9.29,0.65,0.22,0.08,0.12,0.04,0.09,0.32,6.23,0.2,0.08,0.23,0.15,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,0.07,0.28,,,,,,,,,,5.77,1,0.03,0.24,30.63,,,,0.1,,,0.2,0.13,,,,,,0.1,,4685.7,118329.63,15.85,0.99,0.64,1.31,0.73,,9.39,39.88,,0.19,,0.21,0.06,,0.12,,0.08,0.02,0.01,0.44,1,0.79,1,0.75,0.74,1,0.06,0.04,1,0.01,0.08,0.55,0.44,0.29,,,,,,,,,,,,,,,,,
uoa10,East,Refugees,0.63,0.73,0.06,0.07,0.05,2.38,0.09,0.3,0.11,,,,71.84,34.37,31.87,0.24,0.1,0.11,3.85,0.23,0,6,0.23,0,,,,,97.78,0.12,,0.57,0.37,0.41,2,0.06,0.13,0.04,0.28,0.07,0.1,,,0.05,0.09,,,,,,,,0.24,0.05,,,0.13,,,,,,,,0.73,,,,,,,,,,,,,,,13.41,5,,7.73,0.57,0.18,0.12,0.08,0.03,0.05,0.24,6.97,0.15,0.07,0.32,0.12,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,0.11,0.26,,,,,,,,,,6.53,1,0.02,0.13,23.9,,,,0.16,,,0.27,0.09,,,,,,0.06,,7587.76,123077.81,19.42,0.98,0.63,1.21,0.68,,9.58,38.58,,0.2,,0.2,0.07,,0.12,,0.12,0.03,0.01,0.26,1,0.91,0.98,0.81,0.75,1,0.04,0.06,1,0.01,0.07,0.59,0.49,0.34,,,,,,,,,,,,,,,,,
